,Number of observations,Unique values,Most frequent value,Frequency of most common value,Mean,Standard deviation,Minimum,25th Percentile,Median,75th Percentile,Maximum
ROE,636.0,,,,0.08691637303266808,0.6578049009258236,-6.057633353770693,0.0,0.10463070876257692,0.19768543473985267,6.292018033591067
(EBIT-CapEx)/Interest Expense,606.0,,,,30.9433565764064,464.94999820652555,-5854.010712035286,-6.502650963229456,9.28198158863875,29.136480521631132,6374.666666666667
ROA,636.0,,,,-0.07843834636287567,1.6454323302416696,-36.56470010193065,-0.003542134091391616,0.04018090506492221,0.08964878987070338,1.9391566756382022
Debt to EBITDA,630.0,,,,4.904817285410406,56.27410045240291,-82.51281154026661,0.349798634109746,1.634269575387047,3.0593523479352758,1358.2482619349507
Debt Ratio,636.0,,,,0.2513568414604032,0.3170056867822757,0.0,0.08848194371247955,0.19929786761919005,0.3368018700410944,4.633211289519676
Debt/Book Capitalization,636.0,,,,0.36776852816110084,0.7266021490666796,-2.2445709994367604,0.14784085194107002,0.3026517646410196,0.47792902511310176,15.405214685338503
Debt/Equity Ratio,636.0,,,,0.5672850022196048,0.9974303972687789,-13.642159577060687,0.1521445421078013,0.4111561672003786,0.8467153501976525,5.636111111111111
Debt/Total Capitalization,636.0,,,,0.36776852816110084,0.7266021490666796,-2.2445709994367604,0.14784085194107002,0.3026517646410196,0.47792902511310176,15.405214685338503
(Cash + Marketable Securities) / Debt,595.0,,,,4.575546319874473,25.465077009133243,0.0,0.3367067245873379,0.8223765432098765,2.4629827653219296,505.21521313571174
Market Cap to Revenue ratio,621.0,,,,4.4493553434105,4.837680308659138,0.0,1.1032462454434993,2.761845609156359,5.892415399041332,25.458701207227467
(P/B) ratio,623.0,,,,6.165822586961682,12.396177648636582,-15.838232235701906,1.5315485960778266,2.869967955277727,6.084414569534437,222.05562100603336
Market Cap to EBITDA,617.0,,,,16.953975855070198,173.13640206309975,-1582.4545503525137,4.168112720296434,11.129258573644298,20.725739569490102,2228.4122562674097
R&D expense,562.0,,,,3056.0302491103203,7790.534316165174,10.0,200.0,650.0,2200.0,90000.0
GDP_per_Capita,639.0,,,,45675.99061032864,24531.798353388655,1045.0,30996.0,48718.0,63544.0,94696.0
Inflation_Rate,639.0,,,,4.419092331768389,9.240147550826988,-0.8,1.4,2.5,4.7,143.0
Real_GDP_Growth_Rate,639.0,,,,1.7822190923317682,3.5985476640557796,-11.165,0.643,2.0,3.319,11.334
ESG_Committee,639.0,,,,0.4522691705790297,0.49810646106620027,0.0,0.0,0.0,1.0,1.0
International_presence,639.0,,,,0.9342723004694836,0.24799963538917455,0.0,1.0,1.0,1.0,1.0
Years in Market,639.0,,,,42.15492957746479,36.865757956045286,0.0,18.0,26.0,52.0,176.0
ESG Risk Rating,639.0,,,,17.762815992735913,8.78328343601653,0.0,13.3020827325,16.960272005,22.0285988775,58.0
Moodys Credit Rating,642,21,Baa1,90,,,,,,,
Developed,639.0,,,,0.8591549295774648,0.3481341750803704,0.0,1.0,1.0,1.0,1.0
